al;aluminium
amt;amber transparent
be;beige
bk;black
bkc;black crackle
bkf;black matt
bkt;black transparent
bl;blue
blc;blue crackle
blcl;blue crackle light
bld;blue dark
bldt;blue dark, transparent
blF;blue French (1970-1995 sets)
bll;blue light
bllt;blue light transparent
blm;blue metal
blmd;blue metal dark
blml;blue metal light
blR;blue Renault
blt;blue transparent
bn;brown
bnd;brown dark
bnl;brown light
cl;clear
cm;cream
cp;copper
cr;chrome
gd;gold
gdl;gold light
gr;green
grc;green crackle
grd;green dark
grl;green light
grlf;green light matt
grlt;green light, transparent
grm;green metal
grml;green metal light
grn;green medium
gro;green olive
grol;green olive light
grt;green transparent
gru;green fluorescent
gruc;green fluorescent, crackle
grut;green fluorescent, transparent
gy;grey
gyc;grey crackle
gycl;grey crackle light
gyd;grey dark
gyl;grey light
gylp;light grey with honeycomb pattern
gym;grey metal
gyml;grey metal light
gys;grey silvery
gyt;grey transparent
kh;khakee
mn;maroon
or;orange
or/bk;orange with black stripes
orc;orange crackle
orl;orange light
orlt;orange light transparent
ort;orange transparent
pk;pink
pr;purple
prc;purple crackle
prm;purple metal
prt;purple transparent
rd;red
rdc;red crackle
rdd;red dark
rddt;red dark, transparent
rdE;red Evolution/Collection sets
rdm;red metal
rdmd;red metal dark
rdn;red medium
rdS;red Starter/Dynamic sets
rdt;red transparent
sv;silver
tu;turquoise
tut;turquoise, transparent
wt;white
wtc;white crackle
wtt;white transparent
yl;yellow
yl/bk;yellow with black stripes
ylc;yellow crackle
yld;yellow dark
ylE;yellow Evolution/Collection sets
ylF;yellow French (1970-1994 sets)
yll;yellow light
ylm;yellow metal
ylmd;yellow metal dark
ylR;yellow Renault
ylS;yellow Starter sets
ylt;yellow transparent
ylu;yellow fluorescent
